,Experiment,Well,Reporter,Copies,lg10_Copies,Target,FPrimer,RPrimer,PrimerPair,BP,GC,Metric,Parameter,Value,EvaGreen,PrimerPairReporter,PrimerPairReporterBPGC
3552,JG034A,1,HEX,100000000.0,8.0,S044.12,FP004,RP004,FP004-RP004,88,0.4318181818181818,mean,r,0.8100408359015029,Probe,FP004-RP004-Probe,FP004-RP004-Probe-88-0.4318181818181818
3554,JG034A,2,HEX,100000000.0,8.0,S044.12,FP004,RP004,FP004-RP004,88,0.4318181818181818,mean,r,0.8146321487515743,Probe,FP004-RP004-Probe,FP004-RP004-Probe-88-0.4318181818181818
3556,JG034A,4,FAM,100000000.0,8.0,S044.13,FP004,RP004,FP004-RP004,88,0.4318181818181818,mean,r,0.8410065788459665,Probe,FP004-RP004-Probe,FP004-RP004-Probe-88-0.4318181818181818
3558,JG034A,5,FAM,100000000.0,8.0,S044.13,FP004,RP004,FP004-RP004,88,0.4318181818181818,mean,r,0.8411155839713054,Probe,FP004-RP004-Probe,FP004-RP004-Probe-88-0.4318181818181818
3560,JG034A,7,HEX,100000000.0,8.0,S044.2,FP004,RP004,FP004-RP004,30,0.4666666666666667,mean,r,0.9523984402571529,Probe,FP004-RP004-Probe,FP004-RP004-Probe-30-0.4666666666666667
3562,JG034A,8,HEX,100000000.0,8.0,S044.2,FP004,RP004,FP004-RP004,30,0.4666666666666667,mean,r,0.9528706926330144,Probe,FP004-RP004-Probe,FP004-RP004-Probe-30-0.4666666666666667
3564,JG034A,10,HEX,100000000.0,8.0,S044.4,FP004,RP004,FP004-RP004,40,0.45,mean,r,0.9208425502781362,Probe,FP004-RP004-Probe,FP004-RP004-Probe-40-0.45
3566,JG034A,11,HEX,100000000.0,8.0,S044.4,FP004,RP004,FP004-RP004,40,0.45,mean,r,0.9196406416096033,Probe,FP004-RP004-Probe,FP004-RP004-Probe-40-0.45
3568,JG034A,13,HEX,100000000.0,8.0,S044.8,FP004,RP004,FP004-RP004,55,0.45454545454545453,mean,r,0.8760914596868097,Probe,FP004-RP004-Probe,FP004-RP004-Probe-55-0.45454545454545453
3570,JG034A,14,HEX,100000000.0,8.0,S044.8,FP004,RP004,FP004-RP004,55,0.45454545454545453,mean,r,0.8788091672132307,Probe,FP004-RP004-Probe,FP004-RP004-Probe-55-0.45454545454545453
3572,JG034A,16,HEX,100000000.0,8.0,S044.21,FP004,RP004,FP004-RP004,160,0.43125,mean,r,0.6410584410407454,Probe,FP004-RP004-Probe,FP004-RP004-Probe-160-0.43125
3574,JG034A,17,HEX,100000000.0,8.0,S044.21,FP004,RP004,FP004-RP004,160,0.43125,mean,r,0.6369650855248113,Probe,FP004-RP004-Probe,FP004-RP004-Probe-160-0.43125
3576,JG034A,19,HEX,100000000.0,8.0,S044.24,FP004,RP004,FP004-RP004,200,0.425,mean,r,0.6516357593560465,Probe,FP004-RP004-Probe,FP004-RP004-Probe-200-0.425
3578,JG034A,20,HEX,100000000.0,8.0,S044.24,FP004,RP004,FP004-RP004,200,0.425,mean,r,0.6543833768936891,Probe,FP004-RP004-Probe,FP004-RP004-Probe-200-0.425
3580,JG034A,22,HEX,100000000.0,8.0,S044.25,FP004,RP004,FP004-RP004,240,0.42083333333333334,mean,r,0.6070380795616717,Probe,FP004-RP004-Probe,FP004-RP004-Probe-240-0.42083333333333334
3582,JG034A,23,HEX,100000000.0,8.0,S044.25,FP004,RP004,FP004-RP004,240,0.42083333333333334,mean,r,0.6042448082940886,Probe,FP004-RP004-Probe,FP004-RP004-Probe-240-0.42083333333333334
3584,JG034A,217,HEX,100000000.0,8.0,S044.9,FP004,RP004,FP004-RP004,88,0.14772727272727273,mean,r,0.6832010285716391,Probe,FP004-RP004-Probe,FP004-RP004-Probe-88-0.14772727272727273
3586,JG034A,218,HEX,100000000.0,8.0,S044.9,FP004,RP004,FP004-RP004,88,0.14772727272727273,mean,r,0.6956948272348313,Probe,FP004-RP004-Probe,FP004-RP004-Probe-88-0.14772727272727273
3588,JG034A,220,HEX,100000000.0,8.0,S044.10,FP004,RP004,FP004-RP004,88,0.25,mean,r,0.9752842089443963,Probe,FP004-RP004-Probe,FP004-RP004-Probe-88-0.25
3590,JG034A,221,HEX,100000000.0,8.0,S044.10,FP004,RP004,FP004-RP004,88,0.25,mean,r,0.9763452842295842,Probe,FP004-RP004-Probe,FP004-RP004-Probe-88-0.25
3592,JG034A,223,HEX,100000000.0,8.0,S044.11,FP004,RP004,FP004-RP004,88,0.3522727272727273,mean,r,0.9012178593778645,Probe,FP004-RP004-Probe,FP004-RP004-Probe-88-0.3522727272727273
